,　　,,,,,,,,,,,,,,,,
,表1-1    省、自治区、直辖市的户数、人口数和性别比,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位:人，%
,,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
Other areas,地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
#VALUE!,,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
#VALUE!,,,,,,,,,,,,,,,,,
total,合计,351233698,340491197,10742501,1242612226,640275969,602336257,106.30,1178271219,601929640,576341579,104.44,64341007,38346329,25994678,147.52,3.46
#VALUE!,,,,,,,,,,,,,,,,,
Beijing,北京市,4417045,4096844,320201,13569194,7074518,6494676,108.93,11922945,5925670,5997275,98.81,1646249,1148848,497401,230.97,2.91
Tianjin,天津市,3079377,2976741,102636,9848731,5016375,4832356,103.81,9218220,4605720,4612500,99.85,630511,410655,219856,186.78,3.10
Hebei Province,河北省,18302744,17934977,367767,66684419,33936333,32748086,103.63,64296922,32494651,31802271,102.18,2387497,1441682,945815,152.43,3.59
Shanxi Province,山西省,8825948,8650261,175687,32471242,16800758,15670484,107.21,31448836,16107462,15341374,104.99,1022406,693296,329110,210.66,3.64
Inner Mongolia Autonomous Region,内蒙古自治区,6907890,6784470,123420,23323347,12061615,11261732,107.10,22618741,11611976,11006765,105.50,704606,449639,254967,176.35,3.33
#VALUE!,,,,,,,,,,,,,,,,,
Liaoning Province,辽宁省,13046524,12866262,180262,41824412,21323383,20501029,104.01,40597750,20547768,20049982,102.48,1226662,775615,451047,171.96,3.16
Jilin Province,吉林省,7953615,7848446,105169,26802191,13720747,13081444,104.89,26076948,13265133,12811815,103.54,725243,455614,269629,168.98,3.32
Heilongjiang Province,黑龙江省,11070922,10955750,115172,36237576,18520747,17716829,104.54,35457466,18040981,17416485,103.59,780110,479766,300344,159.74,3.24
#VALUE!,,,,,,,,,,,,,,,,,
Shanghai,上海市,5642588,5299068,343520,16407734,8430262,7977472,105.68,14787225,7381235,7405990,99.67,1620509,1049027,571482,183.56,2.79
Jiangsu Province,江苏省,22034267,21375726,658541,73043577,36982038,36061539,102.55,69372929,34775918,34597011,100.52,3670648,2206120,1464528,150.64,3.25
Zhejiang Province,浙江省,14789669,14136916,652753,45930651,23581512,22349139,105.51,42437464,21497896,20939568,102.67,3493187,2083616,1409571,147.82,3.00
Anhui Province,安徽省,16505420,16313885,191535,58999948,30437820,28562128,106.57,57683856,29578590,28105266,105.24,1316092,859230,456862,188.07,3.54
Fujian Province,福建省,9325897,8743252,582645,34097947,17568535,16529412,106.29,31251540,15870742,15380798,103.19,2846407,1697793,1148614,147.81,3.57
Jiangxi,江西省,10444706,10168639,276067,40397598,20990240,19407358,108.16,38635039,19900153,18734886,106.22,1762559,1090087,672472,162.10,3.80
Shandong Province,山东省,27320402,26709328,611074,89971789,45542060,44429729,102.50,85995937,43264425,42731512,101.25,3975852,2277635,1698217,134.12,3.22
#VALUE!,,,,,,,,,,,,,,,,,
Henan Province,河南省,24590997,24247377,343620,91236854,47046599,44190255,106.46,89285110,45794133,43490977,105.30,1951744,1252466,699278,179.11,3.68
Hubei Province,湖北省,16168718,15613793,554925,59508870,30982241,28526629,108.61,55178797,28439557,26739240,106.36,4330073,2542684,1787389,142.26,3.53
Hunan,湖南,18003773,17662105,341668,63274173,32993704,30280469,108.96,61061446,31648823,29412623,107.60,2212727,1344881,867846,154.97,3.46
Guangdong Province,广东省,21538730,18762127,2776603,85225007,43381720,41843287,103.68,69739958,35467809,34272149,103.49,15485049,7913911,7571138,104.53,3.72
Guangxi Zhuang Autonomous Region,广西壮族自治区,11517720,11309236,208484,43854538,23239376,20615162,112.73,42480672,22385025,20095647,111.39,1373866,854351,519515,164.45,3.76
Hainan,海南省,1807521,1750710,56811,7559035,4002445,3556590,112.54,7191829,3773762,3418067,110.41,367206,228683,138523,165.09,4.11
#VALUE!,,,,,,,,,,,,,,,,,
Chongqing,重庆市,9318199,9141558,176641,30512763,15841429,14671334,107.98,29483651,15169064,14314587,105.97,1029112,672365,356747,188.47,3.23
Sichuan Province,四川省,24092307,23638429,453878,82348296,42561620,39786676,106.97,78760676,40370050,38390626,105.16,3587620,2191570,1396050,156.98,3.33
Guizhou Province,贵州省,9338955,9239409,99546,35247695,18464477,16783218,110.02,34591772,18002003,16589769,108.51,655923,462474,193449,239.07,3.74
Yunnan Province,云南省,11120685,10853172,267513,42360089,22194343,20165746,110.06,40474089,20911957,19562132,106.90,1886000,1282386,603614,212.45,3.73
Tibet Autonomous Region,西藏自治区,544909,531571,13338,2616329,1325371,1290958,102.67,2526981,1257371,1269610,99.04,89348,68000,21348,318.53,4.75
#VALUE!,,,,,,,,,,,,,,,,,
Shaanxi Province,陕西省,9730003,9429484,300519,35365072,18378759,16986313,108.20,33687093,17302351,16384742,105.60,1677979,1076408,601571,178.93,3.57
Gansu province,甘肃省,6251195,6086988,164207,25124282,13021654,12102628,107.59,24261648,12406398,11855250,104.65,862634,615256,247378,248.71,3.99
Qinghai Province,青海省,1202626,1173977,28649,4822963,2489590,2333373,106.69,4643526,2355416,2288110,102.94,179437,134174,45263,296.43,3.96
Ningxia Hui Autonomous Region,宁夏回族自治区,1423699,1396870,26829,5486393,2813517,2672876,105.26,5338041,2710328,2627713,103.14,148352,103189,45163,228.48,3.82
Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,4916647,4793826,122821,18459511,9552181,8907330,107.24,17764112,9067273,8696839,104.26,695399,484908,210491,230.37,3.71
#VALUE!,,,,,,,,,,,,,,,,,